"dataset","celltype_index","CellType","Accuracy","MeanConfidence","NumCells"
1,1,"acinar",0.474,0.976,274
1,2,"beta",0.989,1,445
1,3,"delta",0.951,0.998,203
1,4,"activated_stellate",0.989,1,90
1,5,"ductal",0.996,1,258
1,6,"alpha",0.974,0.999,843
1,7,"epsilon",1,0.878,4
1,8,"gamma",0.991,1,110
1,9,"endothelial",1,1,21
1,10,"quiescent_stellate",0.667,1,12
1,11,"macrophage",1,1,15
1,12,"schwann",1,1,4
1,13,"mast",1,1,6
1,14,"MeanAcrossCellTypes",0.925,0.989,2285
2,1,"acinar",NA,NA,0
2,2,"beta",0.983,1,472
2,3,"delta",0.918,1,49
2,4,"activated_stellate",NA,NA,0
2,5,"ductal",NA,NA,0
2,6,"alpha",0.985,0.999,886
2,7,"epsilon",NA,NA,0
2,8,"gamma",0.953,1,85
2,9,"endothelial",NA,NA,0
2,10,"quiescent_stellate",NA,NA,0
2,11,"macrophage",NA,NA,0
2,12,"schwann",NA,NA,0
2,13,"mast",NA,NA,0
2,14,"MeanAcrossCellTypes",0.96,1,1492
3,1,"gamma",0.941,1,85
3,2,"acinar",NA,NA,0
3,3,"alpha",0.993,1,886
3,4,"delta",0.918,1,49
3,5,"beta",0.981,0.999,472
3,6,"ductal",NA,NA,0
3,7,"endothelial",NA,NA,0
3,8,"activated_stellate",NA,NA,0
3,9,"schwann",NA,NA,0
3,10,"mast",NA,NA,0
3,11,"macrophage",NA,NA,0
3,12,"epsilon",NA,NA,0
3,13,"quiescent_stellate",NA,NA,0
3,14,"MeanAcrossCellTypes",0.958,1,1492
4,1,"gamma",0.991,1,110
4,2,"alpha",0.986,1,843
4,3,"delta",0.941,0.998,203
4,4,"beta",0.991,1,445
4,5,"acinar",0.996,1,274
4,6,"ductal",0.984,1,258
4,7,"activated_stellate",0.978,0.998,90
4,8,"macrophage",1,1,15
4,9,"epsilon",0.75,1,4
4,10,"mast",0.833,1,6
4,11,"endothelial",1,1,21
4,12,"schwann",1,1,4
4,13,"quiescent_stellate",0.25,1,12
4,14,"MeanAcrossCellTypes",0.9,1,2285
5,1,"Neurons",0.99,1,1573
5,2,"Pars tuberalis",NA,NA,0
5,3,"Mural cells",NA,NA,0
5,4,"Ependymocytes",NA,NA,0
5,5,"Oligodendrocytes",1,0.989,38
5,6,"Tanycytes",NA,NA,0
5,7,"Endothelial cells",0.724,0.999,29
5,8,"VLMCs",NA,NA,0
5,9,"Astrocytes",1,1,43
5,10,"PVMs & Microglia",1,1,22
5,11,"OPC",1,1,22
5,12,"MeanAcrossCellTypes",0.952,0.998,1727
6,1,"B cell",1,1,346
6,2,"Cytotoxic T cell",0.917,0.981,962
6,3,"Dendritic cell",0.605,1,38
6,4,"CD4+ T cell",0.759,0.992,960
6,5,"Megakaryocyte",0.996,1,270
6,6,"Natural killer cell",0.845,0.984,194
6,7,"CD16+ monocyte",1,1,98
6,8,"CD14+ monocyte",0.955,0.999,354
6,9,"Plasmacytoid dendritic cell",NA,NA,0
6,10,"MeanAcrossCellTypes",0.885,0.994,3222
7,1,"B cell",0.991,0.999,1405
7,2,"Cytotoxic T cell",0.857,0.971,1978
7,3,"Dendritic cell",0.848,0.999,46
7,4,"CD4+ T cell",0.945,0.995,2061
7,5,"Megakaryocyte",0.963,1,27
7,6,"Natural killer cell",0.742,0.98,484
7,7,"CD16+ monocyte",0.864,0.999,198
7,8,"CD14+ monocyte",0.395,0.984,357
7,9,"Plasmacytoid dendritic cell",0.821,1,28
7,10,"MeanAcrossCellTypes",0.825,0.992,6584
8,1,"B cell",0.988,1,80
8,2,"Cytotoxic T cell",0.822,0.964,174
8,3,"Dendritic cell",NA,NA,0
8,4,"CD4+ T cell",0.812,0.976,160
8,5,"Megakaryocyte",0.556,0.986,18
8,6,"Natural killer cell",0.833,0.986,42
8,7,"CD16+ monocyte",0.81,1,21
8,8,"CD14+ monocyte",0.645,1,31
8,9,"Plasmacytoid dendritic cell",NA,NA,0
8,10,"MeanAcrossCellTypes",0.781,0.987,526
9,1,"B cell",0.975,1,79
9,2,"Cytotoxic T cell",0.839,0.981,193
9,3,"Dendritic cell",NA,NA,0
9,4,"CD4+ T cell",0.893,0.983,112
9,5,"Megakaryocyte",1,1,14
9,6,"Natural killer cell",0.72,0.992,50
9,7,"CD16+ monocyte",0.944,1,18
9,8,"CD14+ monocyte",0.85,1,60
9,9,"Plasmacytoid dendritic cell",NA,NA,0
9,10,"MeanAcrossCellTypes",0.889,0.994,526
10,1,"CD4+ T cell",0.925,0.991,160
10,2,"Cytotoxic T cell",0.736,0.963,174
10,3,"Dendritic cell",NA,NA,0
10,4,"B cell",0.975,1,80
10,5,"CD14+ monocyte",0.613,1,31
10,6,"Natural killer cell",0.905,0.975,42
10,7,"Megakaryocyte",1,1,18
10,8,"CD16+ monocyte",0.762,1,21
10,9,"MeanAcrossCellTypes",0.845,0.99,526
11,1,"CD4+ T cell",0.973,0.992,112
11,2,"Cytotoxic T cell",0.606,0.979,193
11,3,"Dendritic cell",NA,NA,0
11,4,"B cell",0.975,1,79
11,5,"CD14+ monocyte",0.883,1,60
11,6,"Natural killer cell",0.74,0.966,50
11,7,"Megakaryocyte",1,1,14
11,8,"CD16+ monocyte",0.944,1,18
11,9,"MeanAcrossCellTypes",0.874,0.991,526
12,1,"CD4+ T cell",0.812,0.978,160
12,2,"Cytotoxic T cell",0.856,0.984,174
12,3,"Natural killer cell",0.905,0.989,42
12,4,"CD14+ monocyte",0.806,0.983,31
12,5,"CD16+ monocyte",0.714,0.969,21
12,6,"B cell",0.988,1,80
12,7,"Dendritic cell",NA,NA,0
